MALLOC (l + 1) * sizeof(char) (6) @ 0000016CB7194800 | main.c:43
MALLOC strlen(argv[1] + 2) (3) @ 0000016CB719C670 | main.c:65
MALLOC strlen(argv[1] + 2) (3) @ 0000016CB71964D0 | main.c:67
MALLOC sizeof(TokenStream) (40) @ 0000016CB7199F00 | tokens.c:59
MALLOC sizeof(char) (1) @ 0000016CB7196550 | tokens.c:62
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB7196570 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE (t)->string @ 0000016CB7196570 | ast.c:756
FREE t @ 0000016CB719ADD0 | ast.c:756
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB7196570 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF30 | tokens.c:136
MALLOC strlen(t->string) + 4 (7) @ 0000016CB71A2900 | ast.c:760
FREE (t)->string @ 0000016CB7196570 | ast.c:764
FREE t @ 0000016CB719AF30 | ast.c:764
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB7196570 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC70 | tokens.c:136
FREE (t)->string @ 0000016CB7196570 | ast.c:768
FREE t @ 0000016CB719AC70 | ast.c:768
MALLOC sizeof(TokenStream) (40) @ 0000016CB7199D20 | tokens.c:59
MALLOC sizeof(char) (1) @ 0000016CB7196570 | tokens.c:62
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B20 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADF0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B20 | ast.c:756
FREE t @ 0000016CB719ADF0 | ast.c:756
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AA0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF30 | tokens.c:136
MALLOC strlen(t->string) + 4 (7) @ 0000016CB71A2B40 | ast.c:760
FREE (t)->string @ 0000016CB71A2AA0 | ast.c:764
FREE t @ 0000016CB719AF30 | ast.c:764
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29D0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF30 | tokens.c:136
FREE (t)->string @ 0000016CB71A29D0 | ast.c:768
FREE t @ 0000016CB719AF30 | ast.c:768
MALLOC sizeof(TokenStream) (40) @ 0000016CB7199F30 | tokens.c:59
MALLOC sizeof(char) (1) @ 0000016CB71A2B20 | tokens.c:62
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AA0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
FREE (t)->string @ 0000016CB71A2AA0 | ast.c:540
FREE t @ 0000016CB719AE10 | ast.c:540
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B60 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE t @ 0000016CB719ADD0 | ast.c:545
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A80 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A80 | ast.c:549
FREE t @ 0000016CB719AFD0 | ast.c:549
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AC0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF10 | tokens.c:136
FREE (t)->string @ 0000016CB71A2AC0 | ast.c:553
FREE t @ 0000016CB719AF10 | ast.c:553
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD30 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A70 | ast.c:557
FREE t @ 0000016CB719AD30 | ast.c:557
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A30 | tokens.c:98
REALLOC tok @ 0000016CB71A2A30 with (tok_cap) * sizeof('\0') (72) -> @ 0000016CB719F5A0 | tokens.c:134
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE t @ 0000016CB719ADD0 | ast.c:565
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A90 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADF0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A90 | ast.c:569
FREE t @ 0000016CB719ADF0 | ast.c:569
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC strlen(t->string) + 1 (6) @ 0000016CB71A2A30 | ast.c:213
FREE (t)->string @ 0000016CB71A2B00 | ast.c:226
FREE t @ 0000016CB719AFB0 | ast.c:226
REALLOC (&fields)->elements @ 0000000000000000 with ((&fields)->capacity) * sizeof(field) (16) -> @ 0000016CB719AFD0 | ast.c:571
REALLOC (&fields_t)->elements @ 0000000000000000 with ((&fields_t)->capacity) * sizeof(field_t) (16) -> @ 0000016CB719ADD0 | ast.c:572
